,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
GIMAP7,0.3000732,-0.0054577813,-0.008753984,0.054979376,0.26119578,-0.10585677
RGS2,0.15272725,0.022872442,-0.018979467,0.06983382,-0.122615874,-0.014403834
CFI,0.19344434,0.00896484,0.066273846,-0.015581854,-0.026729332,0.08133045
CPNE8,-0.001587781,-0.0012175426,0.124033846,-0.010188702,0.06583413,0.018653955
MTMR11,-0.007401843,0.13987902,0.12108511,-0.010170612,-0.121973485,-0.13298951
EMILIN1,-0.10181638,-0.025506444,0.1745677,0.13520415,-0.072622955,0.08361382
BCAT1,0.032737806,0.17328085,-0.116000876,0.19768167,0.047786217,0.0980726
LRRC32,0.14938408,0.20642857,0.073486276,0.028502304,-0.07795285,-0.0013632361
TAPBPL,0.2215499,-0.118887104,0.10350028,-0.0015924257,-0.012793009,-0.12406144
CHPF,0.0033005518,0.17453422,0.04358531,-0.114665486,-0.024188587,0.00023629694
NQO1,0.06102748,-0.08588633,-0.0060871164,0.030223826,-0.04320264,-0.14233318
XPR1,0.04918549,-0.21575004,0.18569252,0.13923876,-0.17877987,0.21591605
HS3ST3A1,-0.026565105,0.107371286,0.031007437,0.13528281,-0.01994511,0.045548
SELENBP1,-0.010771324,0.1390494,0.12821497,0.011711447,0.2560449,0.009366577
ALCAM,0.1355147,-0.02522357,-0.016030509,0.084014796,-0.031176506,0.0029662123
MYH10,-0.01790247,0.09659319,0.13371232,0.13698521,-0.005807322,-0.03322213
NFKBIZ,0.13961612,0.14486182,-3.5081295e-05,0.05519676,-0.04739831,-0.07118053
IL21R,0.19845025,-0.09101449,0.06324265,0.045263518,0.0375989,0.11119455
ANKRD35,0.029590674,0.17322189,0.07547424,-0.06749929,0.027417753,0.19507582
TP53INP1,0.124180175,-0.057744056,0.19578663,-0.00035166263,0.052385926,0.0017981362
PPARG,0.12351686,-0.08200292,0.06525458,0.10071908,0.08747719,-0.06102575
ADAMTS1,0.012368438,0.272054,0.044473454,0.14384645,-0.047075003,-0.0013619461
BACE2,0.046444423,0.148979,0.11009071,-0.02759723,-0.14561106,0.016214887
SEMA6A,0.044530023,0.17511976,0.17723164,0.07645902,0.15106209,0.063247174
HES4,-0.045239463,-0.089757934,0.2517187,0.06189883,0.080603704,-0.043780874
BCL6B,0.11075611,0.021549016,0.24271223,-0.02178026,0.073257715,-0.0071991542
MAF,0.15650152,0.21658428,0.040329386,0.06255799,0.034901448,-0.015582272
