,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
GCNT1,0.012863172838355343,0.0063414307999612885,0.004530479708775825,0.04216657517311003,0.002351592634623848,-0.015476792065186392,0.0020881458339137267,0.019802618354259095
GPR137B,0.03718208277415754,-0.0668590934272562,0.05082724660636244,-0.008991408602131339,0.06674645589224129,0.04932698615977062,-0.01610289252826775,-0.038438783813300896
ITGB2,0.08358596802780174,-0.04301048005535222,-0.008310356728777762,0.046340903720323484,0.006216576285198696,-0.00913443479079704,0.061975776275055586,0.048626485662316726
DKK3,0.024582176426981288,0.07096855751304959,0.026503627729242817,8.432864790095321e-05,0.005929810728567617,0.021072220294109108,0.01598724534450851,0.06047168496173043
EDIL3,0.009645415044183103,0.07042314199703319,0.014580533330425818,0.016511373852763297,0.05921752322850753,0.036354017152541836,0.043365172831311985,0.007580400818159991
CLIC3,0.02228903596613828,0.015388812744038216,0.03121035323910009,-0.025087206882937193,0.02960264899687754,0.057692842192673364,0.016525802330438936,0.040445326943775235
CNTNAP1,-0.013282554069409924,0.023841590910993117,0.05870147030154815,0.04555167845243488,0.01686819493612792,-0.06267937948822978,0.04506359541575658,-0.048995038935284604
IGFBP3,0.012332032883946135,0.04627001399395252,0.021432230554191405,0.027908653535550356,0.003366404999699704,-0.004768910332936089,-0.019735593600535103,-0.07817167185826879
TBX2,-0.036200232896463236,-0.04328670707735229,0.06679340794845115,-0.03047786582814028,-0.03405045440002362,-0.0004751964946250742,0.0033579705902158138,0.027770268298301932
HK2,-0.020698433217753137,0.031175863860284325,-0.0173347124693051,0.06751515447458682,0.04747126869850694,0.0026198984296263096,-0.014475466748406104,0.023005591363344423
FGFR1,-0.025724918069663004,-0.020414591065606422,0.082920181807701,-0.035380356695693,0.03829611673505526,-0.04557732900405941,0.013040329204118042,0.02932762190473584
LDLR,-0.02038299173445069,0.020618005668330826,0.026160411369132393,0.03694594200158481,0.045819783053001974,-0.007398045054263882,-0.013993320716567776,0.026059725940708288
IL18,0.06152952569476941,-0.037061533125406394,-0.0020739350655509083,0.042168659176323516,-0.03297100502616803,0.013220859877977659,-0.011041342130849122,0.06497481178334362
THY1,0.04386963412067714,0.072424187641789,0.02325910968750803,0.005482362789708867,0.006090092709974357,0.027338755146227613,0.0280858968039316,-0.021930935774148966
NFIX,-0.007188473805300948,0.08162555990726408,0.047994380745209196,-0.017310360741892492,0.009298463364578723,-0.04717447704074348,0.019612750482157788,0.043786896341162646
LTBP4,0.019384108625587478,0.05619850919143488,0.03505143374359073,-0.01886873773853896,-0.04948309893626116,-0.029438995883149605,0.022606956280875484,-0.02932803637611915
PDZRN3,0.007216336779984633,0.0803952747080526,0.011334101600747418,0.022218632142554207,-0.0026251551735662747,0.04843048303068229,-0.013396101832732054,0.04155096894836894
SLC7A8,0.05250384340684686,0.012769644475323519,-0.004381718839060704,0.031211089168163036,0.03055784576169663,-0.02593819541479034,0.030593414446849272,0.025170628464457816
LRRC15,0.01329825110655618,0.00682648552312373,0.051020346909685856,-0.04709975404295952,0.065603716016305,0.018839349558830865,0.019347447849377086,0.029134437794471488
