,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
TSPAN33,0.050813604,-0.13986847,0.115840375,0.07645623,-0.1685822,-0.121990316,0.18605301,0.07415459,-0.10556972,0.017659508,-0.12622657,-0.0023156276,-0.22134995
DPT,0.00048254646,0.12840258,0.08617808,-0.020644968,-0.12854023,0.10646944,-0.021961657,-0.010655962,0.09417967,-0.041940007,-0.2750725,-0.06739318,0.34555945
MAPK13,0.11716208,0.06349068,-0.04516942,0.0605972,-0.17461072,0.16623266,0.23533572,0.0843178,0.18806519,-0.024800085,-0.011515374,-0.00206731,-0.24628352
FLNC,-0.019477943,0.28453597,-0.07299711,0.04399317,0.1609967,0.0012327848,-0.17308535,0.123324156,-0.06607911,0.013880593,0.053774804,0.020266028,-0.0013374544
LRP4,-0.045200683,-0.16204363,0.27059698,0.090071045,-0.053123213,0.0056629186,0.07626467,-0.08351332,-0.000656405,-0.10756587,-0.057843357,0.011338885,-0.04373326
ITGA2,0.11080532,-0.07221233,0.18253815,0.05703099,-0.010753462,0.20176491,-0.010887862,-0.04509143,0.3595763,0.040967748,0.12079792,-0.026047349,-0.1437177
ENTPD3,0.01842616,-0.1328443,0.19876005,0.03965074,-0.018833777,0.033737134,0.029318197,0.11324161,0.19555207,-0.15678276,-0.16550176,-0.170554,0.016018499
C1QTNF1,0.0033098836,-0.14069691,0.2903291,-0.10860586,0.10167423,0.073064476,0.10977261,-0.17576452,0.10839383,-0.11492693,-0.16896223,-0.2006186,0.17190182
NRIP3,0.06465368,0.17188907,0.00092606014,0.07271124,-0.092746116,0.14371432,0.15459272,-0.0009756414,0.25562721,-0.057459444,0.04371911,-0.01176916,-0.14438862
FBLN1,0.0040748455,0.2240348,0.15220845,-0.06103962,-0.11012161,0.1216263,-0.120207,-0.19617921,-0.17357475,0.124562524,0.038333304,-0.002278203,0.0027723932
VCAM1,0.15167195,0.19337301,0.035844825,-0.0013517143,0.3643968,0.060749054,-0.05010163,-0.020981008,-0.05933191,0.108120285,-0.0019414009,0.06885594,0.02256804
RNF150,-0.0009924126,0.23136654,0.095441915,0.014042369,-0.017856443,-0.04631864,0.016014619,-0.046581894,-0.09079769,0.06638105,0.03960231,0.18761092,-0.3154334
IL11RA,-0.01309363,0.37854722,0.0039010388,0.0064846138,-0.007102401,-0.10444314,0.14859457,-0.021354152,-0.1642858,-0.09206621,0.12381927,0.17788363,-0.009957845
PLEKHG4,-0.11132848,0.22925109,0.017881462,0.07064908,-0.088054694,0.009502246,0.103727385,-0.01941893,-0.03260878,0.01643315,-0.02379871,-0.08587491,0.039143693
