,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::70_0225_tumor,3.0760174,-0.38120833,1.066835,-0.8431415,1.5442843,-0.59553677,0.53267336,-1.6728292,DOG2
DOG2::71_0643_tumor,1.0429585,0.21784234,1.3185308,0.97096205,3.5809586,0.53813463,-1.2910831,-1.0735794,DOG2
DOG2::72_0732_tumor,4.248387,-1.1994498,-3.5314205,1.7815967,-1.3061734,-0.9077303,0.067176625,3.3504496,DOG2
DOG2::73_0813_tumor,-0.95165807,-1.0020201,0.9484484,2.0306547,0.71399915,-0.105956934,-0.6546974,1.1690649,DOG2
DOG2::74_0815_tumor,1.2001522,-1.2853929,0.8419752,-0.21458185,1.7334334,-2.0843346,-1.4204696,-1.0823135,DOG2
DOG2::75_0819_tumor,0.5999741,0.027084397,-2.251425,-1.5692028,0.5168894,-1.4538817,0.09113174,2.0897462,DOG2
DOG2::76_1106_tumor,3.8183146,3.527067,0.834795,-0.9146762,-1.6546981,-1.236434,-0.8140805,-1.4049809,DOG2
DOG2::77_1417_tumor,3.5373917,-3.7597053,-0.18262365,-1.802754,2.1374483,-0.47545686,0.16294119,2.9552712,DOG2
DOG2::78_1419_tumor,0.81032944,-2.1288621,-2.3842132,2.1946092,-0.64433557,-1.5561227,0.69502354,3.8539033,DOG2
DOG2::79_1713_tumor,2.672311,-0.5205829,-3.4113085,-0.16332595,2.3224857,-0.60966045,-0.20045136,2.7967951,DOG2
DOG2::7_0309__Tumor,0.20820697,-0.13919269,1.9592801,-0.17728256,1.7521062,2.292701,0.89710855,-1.9504896,DOG2
DOG2::7_1022_Tumor,-7.3813286,-0.96588475,2.2862008,-0.5337741,-1.5054821,3.6752787,0.529503,0.92409295,DOG2
DOG2::80_1806_tumor,3.2464926,1.2361397,0.47240454,-1.5304176,2.6802895,0.1382336,1.0849178,-2.1536214,DOG2
DOG2::81_1904_tumor,-0.062402066,4.899146,-2.1548011,-1.9958758,-1.63931,-2.8242507,0.5989819,-1.4369584,DOG2
DOG2::82_1905_tumor,-1.9393795,-0.07228737,-2.347552,3.354681,-0.63213533,1.8774618,0.89928615,-1.8612266,DOG2
DOG2::83_1907_tumor,-0.5116948,-1.9500756,2.1333594,0.6543234,1.6983101,0.26453486,-0.13534676,-0.16248138,DOG2
DOG2::84_1908_tumor,3.1829772,3.4850023,0.8757489,-1.6361171,1.4709686,-0.33032122,0.6298265,-0.3429932,DOG2
DOG2::85_2205_tumor,-0.08134246,0.3023942,0.16625352,2.3214302,-1.3503013,0.31153962,0.3662498,2.2426367,DOG2
DOG2::86_2215_tumor,0.93315846,-1.158649,2.486147,-2.312409,0.8919974,0.36329314,-0.46942025,1.2432139,DOG2
DOG2::87_0204_tumor,2.8371484,-2.0855985,0.31892553,0.18388267,-0.5297121,-1.0608621,0.51323086,1.8653533,DOG2
DOG2::88_0712_tumor,-4.9062886,-0.33241755,2.8299546,-1.9942664,-1.4191291,1.6386122,-1.6944417,-0.6998438,DOG2
DOG2::89_0216_tumor,1.6619055,1.6835945,0.20817624,-2.8013515,-0.06065695,0.46967632,1.9275447,0.11107367,DOG2
DOG2::8_0335__Tumor,3.415108,4.4865403,-4.181438,-2.14242,-1.9340143,-2.4439511,0.3872532,-1.2860023,DOG2
DOG2::8_2202_Tumor,-4.0973167,1.3829501,1.4539557,0.7050899,-0.7481698,-0.7538022,1.8822689,-1.1640412,DOG2
DOG2::90_0224_tumor,1.116887,-0.17035148,0.8447956,1.3360432,1.5099442,0.6139039,0.08464734,1.0549003,DOG2
DOG2::91_0402_tumor,-2.5559728,0.8492811,2.9516394,3.155736,0.3032832,0.8470826,-1.7845515,-2.5130963,DOG2
DOG2::92_0404_tumor,0.08649183,1.0192901,0.77582544,-0.36920667,-3.2238913,0.7675466,0.9802505,-1.1508894,DOG2
DOG2::93_0406_tumor,-0.52760243,3.2948442,0.9972863,-1.2117872,0.67971367,1.1203312,1.1000118,-0.7944539,DOG2
DOG2::94_0410_tumor,-0.45856243,-3.2641509,1.3797728,1.0729289,2.3800159,0.13834758,-0.8711533,1.9293424,DOG2
DOG2::95_0411_tumor,2.5354648,0.3413067,-3.3350215,1.4147238,1.5864922,-0.39413187,1.0780201,3.3481436,DOG2
DOG2::96_0606_tumor,-0.15489122,0.39705998,-0.06377944,-0.21608989,-0.7259221,3.1661694,0.6043285,-1.3612405,DOG2
DOG2::97_0618_tumor,-2.5496006,-4.4615397,1.5193294,0.7073253,-0.99853486,0.79486483,0.9574405,1.6131536,DOG2
DOG2::98_0306_tumor,-0.17079203,-1.3243449,3.3096433,0.63632447,0.40596327,1.5099756,-1.0593851,0.37625995,DOG2
DOG2::99_0318_tumor,-1.3226867,-2.3194783,-1.5201974,0.11287387,-3.3545065,-1.0883193,-0.2106287,0.756015,DOG2
DOG2::9_0510__Tumor,5.4078913,-2.034263,-1.1371711,-0.17626166,-2.142084,0.020850861,-1.9068416,-1.3088361,DOG2
DOG2::9_2312_Tumor,-1.2441527,0.19650485,-1.4530392,0.830389,2.8232183,-0.33426636,-0.28631407,1.0384494,DOG2
TARGET_OS::TARGET-40-0A4HLD,-2.5746434,0.5028305,0.55078655,-0.9796985,-0.04379878,0.19865489,-1.5152909,-0.34621197,TARGET_OS
TARGET_OS::TARGET-40-0A4HMC,2.1373553,-1.2236394,-2.5849774,-0.14767994,1.6989127,1.0773917,-1.1027147,-1.228184,TARGET_OS
TARGET_OS::TARGET-40-0A4HX8,0.51461905,0.48556688,2.6157873,2.1850908,0.64462554,0.0270619,-1.6811478,-0.31634298,TARGET_OS
