,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11
PAPPA,0.00406813,0.020662192,-0.082607664,0.08135908,0.021962808,0.02319549,0.09437814,0.23608026,-0.21623194,-0.024966726,-0.25812316
PARP12,0.21833736,-0.07409631,-0.00054356817,-0.002515113,0.004304181,-0.00036635782,-0.0032963003,0.29411364,0.06232714,0.00035175582,0.19640034
PARP14,0.21890365,0.004089532,0.08515079,0.013074335,0.12763943,-0.073398195,-0.0076757977,0.30708018,0.035530083,0.02968669,0.3878373
PARP15,0.19028795,-0.09847003,-0.009028003,0.007840743,0.043977488,0.00050626794,0.024649125,0.24578327,-0.1182148,0.073772766,0.21861973
PARP9,0.20286855,0.0016399955,0.05463088,0.042917483,0.047904383,-0.038615644,-0.0024123224,0.3803191,0.08334488,-0.0021505987,0.38723812
PARVG,0.33901975,0.012159215,-0.0010991062,0.004890868,-0.086263314,0.00085268903,0.0045262803,-0.053915102,0.02026876,-0.007109131,-0.0013790154
PIK3AP1,0.27352336,-0.054784533,0.0018770833,0.02256428,0.017943747,0.12353255,-0.031278763,0.058252346,-0.11830562,-0.013649869,-0.004406949
PIK3CG,0.19938824,-0.044020962,0.036123816,0.032161396,-0.039074782,0.30246076,0.07857075,0.012055328,-0.12126093,-0.09355372,-0.01205067
PLK4,0.00041911213,-0.0060989927,0.3934494,-0.084931254,0.013170009,-0.002517261,0.009660831,0.02525168,-0.12601882,-0.04753914,-0.00071380753
POLE,-0.0012408992,0.0040171426,0.37454858,0.023522727,0.013794507,-0.0031522727,-0.00076222944,-0.011412907,0.014658282,0.048624955,-0.008305925
POLE2,-0.00068224786,-0.0033757088,0.32292283,-0.08778704,0.0684778,0.0015110235,0.01777452,-0.08752443,0.046948604,-0.064939074,0.001418013
POLQ,-0.024994902,-0.00025534743,0.34743723,-0.034119762,-0.0015702127,-0.018767362,-0.00040286643,-0.03165893,-0.14749144,0.001966237,0.0552918
PRDM1,0.15352693,-0.020462357,0.006259943,0.0030186158,-0.0076513886,0.29245684,0.13138612,-0.01193977,-0.14107837,0.0071960785,-0.10208737
PRKAR2B,0.12824608,-0.0016063313,-0.070920706,-0.003959379,0.019151226,-0.008564519,0.023535965,0.009045549,-0.267207,0.16118062,0.09271912
PTAFR,0.28127095,-0.07314653,-0.04567334,-0.019395303,-0.08427536,-0.01018215,0.0024728675,0.0032068244,-0.12469991,-0.0077339746,-0.07081344
PTK2B,0.23562862,-0.008663611,0.0014652826,-0.07383466,0.0015627114,0.22979099,0.0027259747,-0.0009397212,-0.034251027,0.06112262,-0.001972338
PTPN6,0.32154018,-0.04211639,-0.022402788,-0.029848449,-0.080788024,0.010037429,0.0013079608,-0.05494433,-0.025588728,-0.014030536,-0.019936819
PTPRC,0.30063024,-0.014596671,0.034214422,-0.04249351,0.018151846,0.12321408,0.0006443562,0.0014872159,-0.092688575,0.030120593,0.02094608
PTPRJ,0.20568776,-0.10709648,0.0013777713,0.014018202,-0.0010363028,0.21923228,0.032602236,0.016675197,-0.16473553,0.0032309783,-0.011402032
PTPRO,0.27354,0.023671374,-0.005318395,0.06569107,-0.008205645,-0.06484634,-0.006479884,-0.00710976,-0.15978336,0.00394849,0.007964534
PYCARD,0.313515,-0.0077155707,-0.04423718,0.0049698004,-0.085778005,0.00019399225,-0.0024705888,-0.0018278246,0.13125932,0.0100551555,0.010903296
RAB30,0.0014684087,0.19504964,-0.009444951,0.053294953,-0.053921748,-0.011852065,-0.0115296785,0.28208393,-0.2910299,-0.0880451,0.010306932
RASSF5,0.22258055,-0.007635834,-0.000117286254,0.028406063,-0.026876898,0.0019327581,-0.002372439,0.0066531897,-0.028876914,0.12130872,0.010125291
RCOR2,-0.01116309,0.06694153,0.14196576,0.20217709,0.4044328,-0.06505341,-0.101720795,-0.23796962,0.115052,-0.019667175,0.0041883704
RECQL4,0.00036729846,0.0004352255,0.25550392,-0.052403856,0.118768424,-0.006009729,0.0029677374,-0.09645573,0.27439573,0.10576343,-0.00832624
RELN,0.0003283466,0.14930402,-0.040942866,-0.05820372,0.21905394,0.059182577,0.13171428,-0.002362136,-0.28434804,0.22037731,-0.006215186
RETSAT,0.083143726,-0.018029789,-0.0022178693,0.00023168276,-0.1074462,0.20075487,-0.09784772,0.3115831,-0.049103614,0.014217457,0.011064943
RGS18,0.2845486,0.0013171931,-0.0786015,0.0051205046,0.022870304,-0.10342787,0.0139390025,-0.029126354,-0.11686912,-0.0358743,0.00056874263
RNASEL,0.13013327,-0.0045700665,0.005104091,0.110023156,-0.009591441,0.007997799,0.0737126,0.40367168,0.006697809,0.09898581,0.2024078
RRM2,0.0009143307,0.0034640036,0.33997458,-0.14643495,0.13970801,0.08297594,0.00016424275,0.013282756,-0.022588516,-0.09277805,-0.0024092416
RYR2,-0.06373085,0.012525254,0.06902313,0.11211251,-0.06343566,-0.023715947,0.11909643,-0.26691002,-0.06462598,0.12991081,0.10528873
SAMD9L,0.2176669,0.004039693,0.046617966,-0.034323145,0.06009229,-0.04816324,-0.00047730363,0.3409941,-0.015057547,-0.003991136,0.35503763
SAMSN1,0.33093038,-0.001643669,0.018038945,-0.073099434,0.0154107455,-0.1489842,-0.05149666,0.024852099,-0.028310256,0.05443867,-0.0034882764
SCML2,-0.009586107,0.012751681,0.21134849,0.1488292,-0.16272749,-0.06687832,0.0025577466,-0.13352089,0.10569453,0.19614524,0.013767207
