,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
FAM107A,0.02385408210191992,0.0021197882437332745,0.057371750800171414,-0.01971328047898469,-0.03092328491939842,0.05332548903997164,0.0002964144107899958,-0.07850527793191715,0.010331089786965519,0.025794269888788128,-0.03729391907305403,0.036453248110099465
FANCA,-0.04361847039646736,-0.03265128125543658,-0.03548775975951804,0.06831102355895734,-0.00586662200000782,-0.013330670088439316,-0.0420144570673621,-0.021960360157203408,-0.031151650529683144,-0.008389653001928272,0.09173164549559988,0.01929533728904876
FANCD2,-0.03928892741336268,-0.017198590001953912,-0.03328227251859967,0.10339501812482231,0.013033090385763006,-0.008366731801341044,-0.044466554269136996,4.67702303457683e-05,-0.03211114786764588,-0.014453591230714803,0.011943124144363975,-0.033427114999988294
FANCM,-0.025592626197121646,-0.0010184443256655287,-0.04158299805261208,0.10439858528329685,0.013594108021368343,0.02670391349081122,-0.023750263609504385,0.002018732025223416,-0.011511900823574953,-0.04663376898502891,0.032703089161623095,0.030640383874901967
FCER1G,0.07640993674541315,-0.013849759247722646,-0.033789580473754396,0.023464525380940807,-0.007532000708048827,-0.01398053245994324,0.04943751622397532,0.0377816280890352,-0.000789488637961867,-0.022832635142419604,0.0034320037960562603,-0.008391721550705776
FGR,0.07253532734037484,-0.004589129417382203,-0.014151326393474079,0.029300379230390847,-0.042149042501523425,-0.0039849530160627825,0.004334978048098668,0.03762865588862224,0.01328429518492814,0.020969483844757324,-0.045530346764395775,0.00035397048691485663
FN1,0.033819724576195406,0.033358863005746406,0.059077827869598205,0.009666332222578726,0.06559683070457265,0.022152892631336307,-0.04418101019551847,0.03135174673780388,0.004552246687999459,-0.0018606682703398696,0.02904517892619578,-0.0010084058567297535
GAB2,0.059473114067022735,-0.012736754213748988,0.04012682663016686,0.00838035845716488,0.008335566259256657,0.008681138606890675,-0.06863312125385551,-0.027497346735413257,-0.020124684570756727,-0.01876452453819151,-0.0031486919160574924,0.03885742938237629
GABRA2,-0.019100081868862438,0.007553235325374419,-0.002723820484105953,0.0428235197501591,-0.055488662764908166,-0.03836719276804548,-0.002885419266173344,-0.03212609483455304,-0.033440557855160404,0.040237493904747304,0.028628544435499757,0.001423397618468763
GAS6,0.037584080321532105,0.04136779620727949,0.06126200991541328,-0.021968474966137092,-0.011978103995921446,0.04897907598675392,0.03551269079017322,-0.01680495215964511,0.02298313684978945,-0.015158021296591391,-0.031262785465571555,0.02810408643741414
GBP1,0.06253068036030378,-0.001371864675300287,-0.02108632508444367,0.019062015500282956,-0.016975366699681957,0.06829418731028195,-0.010971228822290478,-0.016666801226072187,-0.0063282036932748465,-0.020669762950033928,-0.03136109612432932,-0.0021324845192359767
GIMAP6,0.07759748193414878,-0.009132482401222285,-0.016490524887942514,0.028250824657228935,-0.0597791226192481,-0.00019245629548372226,0.021707619067120307,0.007655949255078998,0.0012932347636740813,-0.026103390514034538,0.0036755671278971315,0.014135075183597417
GLUL,0.049437181526842455,-0.017385075356000725,0.010522598125566688,0.00619029793199471,0.012988453395613782,0.029077726225843786,-0.0325789711332124,-0.020996372770353888,-0.019233233664399305,0.006886798003331226,0.027274101712165533,0.06286570234090005
GMFG,0.06345059486745307,-0.022957252921001915,-0.005273315243003927,-0.006829487233768455,-0.038678869946058486,-0.03675690140122961,-0.019692612648337292,0.01931310029791658,0.006393701678593652,-0.008618941518743897,0.06753071158954017,-0.0554767264718114
GPRC5C,-0.03446773963040116,-0.02517453087062814,0.06230908291726939,0.020403045887940396,-0.023903358778882142,-0.027248522814189862,0.049792957767577986,0.06277037021986678,0.06948222337622098,-0.013792263519885606,0.019703564480899285,0.010163553052183427
GPSM3,0.0738856541203568,-0.03454303864852008,-0.006899085894621782,0.024870516952130287,-0.020784213559229305,-0.003907314293364118,0.0249874924761636,-0.008173557621729506,0.025067444924977506,0.004189528496802882,0.023911309901966243,0.005715906702189001
GTSE1,-0.038079487015481625,-0.023247421025540775,-0.03695874956519064,0.10315001312441205,0.032092229841049785,0.035831220764473634,-0.0071340293668219305,0.005254290382498851,0.03375178328850023,-0.007712307914257732,-0.033597118920978934,0.03833695588006452
HCLS1,0.07980901504554114,-0.006990911934352254,-0.016436844808235207,0.024404171090164226,-0.009993648220238537,0.008034365717783435,0.01564380037086107,-0.012963933677195906,0.020284823067978762,-0.006345077119382533,-0.036268443328755,0.014298300012848996
HELLS,-0.03909448753354591,-0.026520298481265994,-0.028568089402038057,0.09324244038851891,0.02005308340046097,0.015272492564246131,-0.030780864531057203,0.0038866403304982436,0.001919689956123907,-0.012270572307234655,-0.0025195730023523533,0.06781215722955188
HHIP,-0.015278621697580017,0.01799522350646367,0.005149491644020867,0.05378078566576058,-0.021822101405553546,-0.05341722737183886,-0.01004912427828741,-0.05234728628854378,-0.025357653820007316,0.014608894311297024,0.017737368557687906,-0.022544264001182424
HNMT,0.057689919307409354,-0.005573816256827083,0.012381591661627995,0.007263440129443792,0.013536849890350254,0.02720921196115703,-0.015942426960030006,0.029828280802066235,0.009664791825544012,-0.01740116637112111,-0.04225305761008814,-0.009800983078436505
HSP90AA1,-0.03182604739702578,-0.009411112861346436,-0.019130375270767892,0.08396788017700098,0.006381116638687361,0.0190321912797651,-0.03601131204212567,-0.026295639298235456,-0.01720350905106771,0.05524046561489148,-0.035700226544137535,0.01450321416672365
HSPH1,-0.018217581988167794,-0.015583051628117996,-0.012034995539453927,0.07510971875564075,0.026813719709232787,-0.007043248550131513,-0.04178141515987089,-0.04693822083077966,0.030554977859705585,0.06486119458426245,-0.021436925824510913,-0.0033044321331089747
IFI30,0.05631021316958939,-0.05292085794017965,0.012320285517061855,0.011183798876151443,0.037043355345697394,-0.033369041902537366,0.04002162363113361,-0.0019424830029996275,-0.015802367178162587,0.025540089341069442,-0.07062105736129226,0.019499665349346863
IFI35,0.05257390935566739,-0.026870344495196624,0.004411444120140605,-0.0004512767319183792,-0.00024158509088949807,0.09713626715915845,0.043178520904915044,0.043971784480740225,0.04272518980047255,0.012240976413880209,-0.0034541683238623784,0.0189620027641996
IFITM5,-0.030541746976660906,-0.06235752660149267,0.04521833721307463,0.010065935036171644,-0.06617935073460487,-0.06451905650782372,0.03799289904304113,0.05991818592315066,0.02652322898295849,0.012276227885835858,0.02621541488032874,0.017655296414027875
IGFBP3,-0.005005076030693922,0.04657976104594824,0.008413794613834374,0.033159550410743484,0.018407132123083248,0.01319239074488273,-0.035683007552090584,-0.018869458277002007,0.1154022216715596,0.04841998236359608,0.014112425979068336,-0.08760913158678219
IL18,0.06243204512095282,-0.014864134513976682,-0.012894685102812433,0.027645507535579216,-0.05280775027280753,-0.014166287095470997,-0.02320707691240179,0.01757522237456926,-0.05008559051846692,-0.025501695061421636,0.014044852966664136,-0.0692976089049462
IL1RN,0.061319914844052636,-0.017584943755012163,-0.03296607710255197,0.031307595601799056,-0.017450456304356016,0.031050174673764898,-0.008649951858200328,-0.0058071096940844474,-0.011973205007804324,0.07121660149363387,0.08001881227904598,-0.018533599011246876
