source,candidate,n_nonempty,n_unique,n_overlap,overlap_fraction
expression,ARFIP1_3,186,186,0,0.0
expression,ARFIP2_3,186,186,0,0.0
expression,ARFRP1_3,186,186,0,0.0
expression,ARG1_3,186,186,0,0.0
expression,ARG2_3,186,186,0,0.0
expression,ARGLU1_3,186,186,0,0.0
expression,ARHGAP1_3,186,186,0,0.0
expression,ARHGAP10_3,186,186,0,0.0
expression,ARHGAP12_3,186,186,0,0.0
expression,ARHGAP15_3,186,186,0,0.0
expression,ARHGAP17_3,186,186,0,0.0
expression,ARHGAP18_3,186,186,0,0.0
expression,ARHGAP19_3,186,186,0,0.0
expression,ARHGAP20_3,186,186,0,0.0
expression,ARHGAP21_3,186,186,0,0.0
expression,ARHGAP22_3,186,186,0,0.0
expression,ARHGAP23_3,186,186,0,0.0
expression,ARHGAP24_3,186,186,0,0.0
expression,ARHGAP25_3,186,186,0,0.0
expression,ARHGAP26_3,186,186,0,0.0
expression,ARHGAP27_3,186,186,0,0.0
expression,ARHGAP28_3,186,186,0,0.0
expression,ARHGAP29_3,186,186,0,0.0
expression,ARHGAP30_3,186,186,0,0.0
expression,ARHGAP31_3,186,186,0,0.0
expression,ARHGAP32_3,186,186,0,0.0
expression,ARHGAP33_3,186,186,0,0.0
expression,ARHGAP35_3,186,186,0,0.0
expression,ARHGAP39_3,186,186,0,0.0
expression,ARHGAP4_3,186,186,0,0.0
expression,ARHGAP42_3,186,186,0,0.0
expression,ARHGAP44_3,186,186,0,0.0
expression,ARHGAP45_3,186,186,0,0.0
expression,ARHGAP5_3,186,186,0,0.0
expression,ARHGAP6_3,186,186,0,0.0
expression,ARHGAP9_3,186,186,0,0.0
expression,ARHGDIA_3,186,186,0,0.0
expression,ARHGDIB_3,186,186,0,0.0
expression,ARHGEF1_3,186,186,0,0.0
expression,ARHGEF10_3,186,186,0,0.0
expression,ARHGEF10L_3,186,186,0,0.0
expression,ARHGEF11_3,186,186,0,0.0
expression,ARHGEF12_3,186,186,0,0.0
expression,ARHGEF15_3,186,186,0,0.0
expression,ARHGEF17_3,186,186,0,0.0
expression,ARHGEF18_3,186,186,0,0.0
expression,ARHGEF19_3,186,186,0,0.0
expression,ARHGEF2_3,186,186,0,0.0
expression,ARHGEF25_3,186,186,0,0.0
expression,ARHGEF26_3,186,186,0,0.0
expression,ARHGEF28_3,186,186,0,0.0
expression,ARHGEF3_3,186,186,0,0.0
expression,ARHGEF33_3,186,186,0,0.0
expression,ARHGEF37_3,186,186,0,0.0
expression,ARHGEF39_3,186,186,0,0.0
expression,ARHGEF40_3,186,186,0,0.0
expression,ARHGEF5_3,186,186,0,0.0
expression,ARHGEF6_3,186,186,0,0.0
expression,ARHGEF7_3,186,186,0,0.0
expression,ARHGEF9_3,186,186,0,0.0
expression,ARID1A_3,186,186,0,0.0
expression,ARID1B_3,186,186,0,0.0
expression,ARID2_3,186,186,0,0.0
expression,ARID3A_3,186,186,0,0.0
expression,ARID3B_3,186,186,0,0.0
expression,ARID4A_3,186,186,0,0.0
expression,ARID4B_3,186,186,0,0.0
expression,ARID5A_3,186,186,0,0.0
expression,ARID5B_3,186,186,0,0.0
expression,ARIH1_3,186,186,0,0.0
expression,ARIH2_3,186,186,0,0.0
expression,ARL1_3,186,186,0,0.0
expression,ARL10_3,186,186,0,0.0
expression,ARL13B_3,186,186,0,0.0
expression,ARL14EP_3,186,186,0,0.0
expression,ARL15_3,186,186,0,0.0
expression,ARL16_3,186,186,0,0.0
expression,ARL17A_3,186,186,0,0.0
