gene,p,endpoint,fold
LY9_3,0.009103068267951344,DFI,1
PTPN22_3,0.009147629387810628,DFI,1
DUSP10_3,0.009151316755738334,DFI,1
ALDH3B1_3,0.009162227415158038,DFI,1
DERL3_3,0.009204461215253673,DFI,1
RND1_3,0.009230712522945822,DFI,1
FGF23_3,0.00925537220702864,DFI,1
IRAG2_3,0.00926234790914876,DFI,1
MATK_3,0.009338343734357282,DFI,1
PCED1B_3,0.009366185106038186,DFI,1
HSD11B1_3,0.009403071262381912,DFI,1
PLAAT4_3,0.009437814611000996,DFI,1
TRABD2A_3,0.009516876322364292,DFI,1
BCL11A_3,0.009542996465460824,DFI,1
GIMAP7_3,0.009544925900858588,DFI,1
SH3TC1_3,0.009625269966728429,DFI,1
FAXDC2_3,0.009708953008714013,DFI,1
CD3E_3,0.009723403118781655,DFI,1
KCNQ1_3,0.009731947345782236,DFI,1
LOC100684769_3,0.00978608734990129,DFI,1
ANGPTL4_3,0.009851313847899728,DFI,1
NCAPG_3,0.009853494817206501,DFI,1
CSTB_3,0.009937496496780787,DFI,1
ATAD2_3,0.009974569832731246,DFI,1
TMC6_3,0.009983005900208624,DFI,1
DMTN_3,0.009991209054286238,DFI,1
STK39_3,0.010003806715269887,DFI,1
IFITM5_3,0.010009564413258884,DFI,1
CCNB3_3,0.010031281575027659,DFI,1
CPE_3,0.01018569126928958,DFI,1
CXCL14_3,0.010186739309451198,DFI,1
TAP1_3,0.01021123592927514,DFI,1
LOC102154760_3,0.010264996321777761,DFI,1
IRF8_3,0.01037666905218213,DFI,1
GYPC_3,0.010380732033235307,DFI,1
PRKX_3,0.010404061626945937,DFI,1
POFUT2_3,0.010493176857030023,DFI,1
GPR65_3,0.010526032657465878,DFI,1
CTNNAL1_3,0.010527192040225022,DFI,1
LOC119877031_2,0.010547770896494734,DFI,1
IKZF1_3,0.010551160240721504,DFI,1
SLC36A2_3,0.010559783085220762,DFI,1
AFAP1_3,0.01057724960361783,DFI,1
LOC102151830_3,0.010579701080365999,DFI,1
