module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M34,SERPINB9_3,SERPINB9,SERPINB9,strict_symbol_concordant_one_to_one,0.0556612443928295,-0.0556612443928295,0.0556612443928295,True,True,1,-0.00538125470990679
M34,SERPING1_3,SERPING1,SERPING1,strict_symbol_concordant_one_to_one,0.05333564533607008,-0.05333564533607008,0.05333564533607008,True,True,1,-0.0051564189015439865
M34,SH3TC1_3,SH3TC1,SH3TC1,strict_symbol_concordant_one_to_one,0.0724732901771042,-0.0724732901771042,0.0724732901771042,True,True,1,-0.007006620824995865
M34,SIRPB2_3,SIRPB2,SIRPB2,strict_symbol_concordant_one_to_one,0.07614015071575017,-0.07614015071575017,0.07614015071575017,True,True,1,-0.007361128000669105
M34,SLC43A2_3,SLC43A2,SLC43A2,strict_symbol_concordant_one_to_one,0.07584392913293403,-0.07584392913293403,0.07584392913293403,True,True,1,-0.0073324896939784496
M34,SLC6A6_3,SLC6A6,SLC6A6,strict_symbol_concordant_one_to_one,0.05937478755356712,-0.05937478755356712,0.05937478755356712,True,True,1,-0.005740275099086875
M34,SLC8A1_3,SLC8A1,SLC8A1,strict_symbol_concordant_one_to_one,0.04359547490627083,-0.04359547490627083,0.04359547490627083,True,True,1,-0.004214752243308004
M34,SLCO2B1_3,SLCO2B1,SLCO2B1,strict_symbol_concordant_one_to_one,0.0774471410675742,-0.0774471410675742,0.0774471410675742,True,True,1,-0.007487486080932611
M34,SLCO3A1_3,SLCO3A1,SLCO3A1,strict_symbol_concordant_one_to_one,0.046602691524899695,-0.046602691524899695,0.046602691524899695,True,True,1,-0.004505485926487952
M34,SP100_3,SP100,SP100,strict_symbol_concordant_one_to_one,0.06528156114070661,-0.06528156114070661,0.06528156114070661,True,True,1,-0.006311334074373497
M34,SRM_3,SRM,SRM,strict_symbol_concordant_one_to_one,-0.03629049111828369,0.03629049111828369,0.03629049111828369,True,True,1,0.0035085161746806447
M34,SUSD1_3,SUSD1,SUSD1,strict_symbol_concordant_one_to_one,0.047559988653027345,-0.047559988653027345,0.047559988653027345,True,True,1,-0.004598036133291823
M34,SYK_3,SYK,SYK,strict_symbol_concordant_one_to_one,0.07043066188275984,-0.07043066188275984,0.07043066188275984,True,True,1,-0.0068091422517186665
