analysis_set,initial_factors,module_label,n_module_genes,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_detection_aware,12,M40,32,Factor4,-0.6296409796314931,0.6296409796314931,0.3964477632313063,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M40,32,Factor5,-0.03346837824049182,0.03346837824049182,0.0011201323420486264,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M40,32,Factor6,-0.13414931655071202,0.13414931655071202,0.01799603913102314,1,DOG2,group_specific
four_cohort_detection_aware,12,M40,32,Factor7,0.00574537103336561,0.00574537103336561,3.3009288311036614e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M40,32,Factor8,0.25972023206813416,0.25972023206813416,0.06745459894552547,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,16,M34,50,Factor1,-0.6494190652647268,0.6494190652647268,0.4217451223293115,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M34,50,Factor2,0.01734529905639008,0.01734529905639008,0.00030085939935560664,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M34,50,Factor3,-0.04261106127471977,0.04261106127471977,0.0018157025429579232,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M34,50,Factor4,0.029448092266420322,0.029448092266420322,0.0008671901381316043,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M34,50,Factor5,-0.01929350988112752,0.01929350988112752,0.0003722395235331652,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M34,50,Factor6,-0.19629637792187712,0.19629637792187712,0.038532267985248406,1,DOG2,group_specific
four_cohort_detection_aware,16,M34,50,Factor7,0.09171909803772552,0.09171909803772552,0.008412392944853905,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,16,M34,50,Factor8,0.017910332888369837,0.017910332888369837,0.0003207800241722222,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,16,M34,50,Factor9,0.13097566941866082,0.13097566941866082,0.017154625979666323,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,16,M11,5,Factor1,0.014830410818719567,0.014830410818719567,0.00021994108505199436,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M11,5,Factor2,0.07438048027274269,0.07438048027274269,0.005532455845603864,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M11,5,Factor3,0.05818760043496708,0.05818760043496708,0.0033857968443793815,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M11,5,Factor4,-0.09382461802001647,0.09382461802001647,0.008803058946602,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M11,5,Factor5,0.08724385791288847,0.08724385791288847,0.007611490743524272,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,16,M11,5,Factor6,-0.07577909664432793,0.07577909664432793,0.005742471488230393,1,DOG2,group_specific
four_cohort_detection_aware,16,M11,5,Factor7,0.21340595068650328,0.21340595068650328,0.04554209978841027,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,16,M11,5,Factor8,-0.11232355408938423,0.11232355408938423,0.012616580803270824,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,16,M11,5,Factor9,0.18548608919204926,0.18548608919204926,0.034405089283760855,3,DOG2;TARGET_OS;GSE21257,partially_shared
