endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,gene_proliferation_correlation,gene_only_coef,gene_only_hr,gene_only_p,gene_only_c_index,gene_plus_proliferation_coef,gene_plus_proliferation_hr,gene_plus_proliferation_p,gene_plus_proliferation_c_index,gene_plus_proliferation_proliferation_p,gene_plus_proliferation_weight_coef,gene_plus_proliferation_weight_hr,gene_plus_proliferation_weight_p,gene_plus_proliferation_weight_c_index,gene_plus_proliferation_weight_proliferation_p,gene_plus_proliferation_weight_weight_p,abs_coef_ratio_after_proliferation_adjustment,retains_nominal_p05_after_proliferation,gene_only_error,gene_plus_proliferation_error,gene_plus_proliferation_weight_error,gene_only_q,gene_plus_proliferation_q,gene_plus_proliferation_weight_q
DFI,PRRT4_3,PRRT4,PRRT4,strict_primary,medium_rna_evidence,5.0,PRRT4_3,0.4705906743797508,0.29674424966927115,1.3454711507501114,8.284667717300875e-05,0.5993165948596049,0.2178439506290179,1.2433930217801579,0.009029898825355579,0.6162531570346159,0.016922752558068847,0.2199743788894473,1.246044805126694,0.009450044274256357,0.6351463176107726,0.04425035985808711,0.0062251754074519995,0.7341134693319598,True,,,,0.0002692517008122784,0.015168806081452275,0.017550082223618948
OS,PRRT4_3,PRRT4,PRRT4,strict_primary,medium_rna_evidence,5.0,PRRT4_3,0.4705906743797508,0.1505730750802918,1.1625002517985938,0.05385985497194049,0.5573678739905653,0.060280293674792366,1.0621342143282693,0.5026802316822565,0.5992644119293196,0.03955150743158939,0.048518685265704756,1.0497149858405026,0.5936177547380093,0.5988489908405609,0.05569469109477807,0.25467523893778254,0.40033912864334087,False,,,,0.05601424917081811,0.5026802316822565,0.5936177547380093
DFI,TMEM178A_3,TMEM178A,TMEM178A,strict_primary,medium_rna_evidence,5.0,TMEM178A_3,0.14868925609702308,0.2757506823096579,1.3175193421964755,0.0022518676163944657,0.5225820829000148,0.21219618045898855,1.2363904169272029,0.02723796995193153,0.6109047689793493,0.001883960002128293,0.23891910543636538,1.269875806379508,0.011658726078366979,0.6286767471601595,0.00782562831249741,0.003124488588114499,0.7695218691089223,True,,,,0.0025455894794024396,0.03219032812500999,0.017830992825737732
OS,TMEM178A_3,TMEM178A,TMEM178A,strict_primary,medium_rna_evidence,5.0,TMEM178A_3,0.14868925609702308,0.12790137269564109,1.1364409130657833,0.14788278331046986,0.5025585672023667,0.10642785543827885,1.1122976773225166,0.23774961487121737,0.5902294714959623,0.009668905462198969,0.09777641354954826,1.102716205141402,0.273629151309163,0.5990111048066791,0.01656805164171745,0.27585376865902206,0.8321087819091557,False,,,,0.14788278331046986,0.24725959946606607,0.2845743173615295
DFI,GABRA2_3,GABRA2,GABRA2,strict_primary,medium_rna_evidence,5.0,GABRA2_3,0.22642151986234618,0.18931973116951642,1.2084272625838621,0.011358347881464304,0.5451641658000297,0.1244916073363338,1.1325725151201607,0.11459024220833852,0.6015450898826326,0.0017631774772649549,0.07631762054529294,1.0793053292685895,0.3465646021427502,0.6259685548785074,0.0033176166273489655,0.014367380515388382,0.6575733367425095,False,,,,0.011358347881464306,0.11459024220833852,0.34656460214275026
OS,GABRA2_3,GABRA2,GABRA2,strict_primary,medium_rna_evidence,5.0,GABRA2_3,0.22642151986234618,0.25369698501977506,1.2887812250776889,0.0011261824124630783,0.5608059486687456,0.22103965488500996,1.2473728940120012,0.005773683758988908,0.5961461581514352,0.025823858715799515,0.20148656211250068,1.2232197994623146,0.016072596740483953,0.6034692388749291,0.03223287456466168,0.5243084848315909,0.8712742678742534,True,,,,0.0022344938279933372,0.013646888884882873,0.02984910823232734
DFI,H2AX_3,H2AX,H2AX,strict_primary,medium_rna_evidence,5.0,H2AX_3,0.25897955674416623,0.25817584242460134,1.2945664383123727,0.001495704375596148,0.5624721438122121,0.18756241982753324,1.2063055444550421,0.03238168553450814,0.6123161491606002,0.005057868291737388,0.16269926909027363,1.1766827715937183,0.06717418129604037,0.6281501542165049,0.01313743941846148,0.013156810473153507,0.7264909763287001,True,,,,0.0018518244650238022,0.03660538364770485,0.07277202973737708
OS,H2AX_3,H2AX,H2AX,strict_primary,medium_rna_evidence,5.0,H2AX_3,0.25897955674416623,0.23271010807696937,1.2620155781710782,0.006335855406631872,0.5740785160310227,0.18073579076800245,1.1980985887639763,0.04824780870643422,0.6039018149836092,0.04778941615616984,0.17175423436952272,1.187385978687797,0.06106442645146438,0.6130339628759017,0.07546335559347798,0.29780845699641756,0.7766563827482031,True,,,,0.00783934084231201,0.05702013756214953,0.07216704944263973
DFI,BTK_3,BTK,BTK,strict_primary,medium_rna_evidence,5.0,BTK_3,-0.19184091657369345,-0.24128513756960687,0.7856175853596764,0.0019847999173878534,0.594488188976378,-0.18002050353781787,0.8352530855924748,0.025235380833178857,0.6204872975783687,0.003252585779544063,-0.17406856230019346,0.8402392869452666,0.033032210340362515,0.6438727149627623,0.00935413566904805,0.010685715845093362,0.7460903118654992,True,,,,0.0023456726296401903,0.03124380484107859,0.03903806676588297
OS,BTK_3,BTK,BTK,strict_primary,medium_rna_evidence,5.0,BTK_3,-0.19184091657369345,-0.26568114536835863,0.7666835491321078,0.0013932682537355452,0.6009434716558727,-0.22672804882955916,0.7971375353014137,0.007788806215548227,0.6162149196449987,0.039042082832566355,-0.230457070150019,0.7941705278920471,0.007489717353731626,0.6295695874199563,0.06327996996679862,0.32683758850110706,0.8533840386573454,True,,,,0.002414998306474945,0.01595772208949066,0.01770296829063839
