endpoint,method,gene,selected_in_folds,mean_gene_rank,n_method_folds,selection_frequency,gene_symbol_clean
DFI,elastic_net_cox,IL34_3,1,13.0,5,0.2,IL34
DFI,elastic_net_cox,TMEM123_3,1,14.0,5,0.2,TMEM123
DFI,elastic_net_cox,YIF1B_3,1,14.0,5,0.2,YIF1B
DFI,elastic_net_cox,CIART_3,1,15.0,5,0.2,CIART
DFI,elastic_net_cox,DNAJB1_3,1,15.0,5,0.2,DNAJB1
DFI,elastic_net_cox,MCAM_3,1,15.0,5,0.2,MCAM
DFI,elastic_net_cox,DLG2_3,1,16.0,5,0.2,DLG2
DFI,elastic_net_cox,RAB3C_3,1,16.0,5,0.2,RAB3C
DFI,elastic_net_cox,KCNMB4_3,1,17.0,5,0.2,KCNMB4
DFI,elastic_net_cox,OLFML1_3,1,17.0,5,0.2,OLFML1
DFI,elastic_net_cox,LOC610632_3,1,18.0,5,0.2,LOC610632
DFI,elastic_net_cox,MAB21L2_3,1,18.0,5,0.2,MAB21L2
DFI,elastic_net_cox,TSPAN33_3,1,18.0,5,0.2,TSPAN33
DFI,elastic_net_cox,SPSB4_3,1,19.0,5,0.2,SPSB4
DFI,elastic_net_cox,ACOD1_3,1,20.0,5,0.2,ACOD1
DFI,elastic_net_cox,FMO5_3,1,20.0,5,0.2,FMO5
DFI,elastic_net_cox,ANKRD66_3,1,21.0,5,0.2,ANKRD66
DFI,elastic_net_cox,CENPV_3,1,21.0,5,0.2,CENPV
DFI,elastic_net_cox,H2AC6_3,1,21.0,5,0.2,H2AC6
DFI,elastic_net_cox,MPIG6B_3,1,22.0,5,0.2,MPIG6B
DFI,elastic_net_cox,TAF9B_3,1,22.0,5,0.2,TAF9B
DFI,elastic_net_cox,DDIT4_3,1,23.0,5,0.2,DDIT4
DFI,elastic_net_cox,RBMS3_3,1,24.0,5,0.2,RBMS3
DFI,elastic_net_cox,ADAM19_3,1,25.0,5,0.2,ADAM19
DFI,elastic_net_cox,LOC477699_3,1,25.0,5,0.2,LOC477699
DFI,elastic_net_cox,OSBPL3_3,1,25.0,5,0.2,OSBPL3
DFI,gsmb_alpha0.10,GPRC5C_3,4,6.5,5,0.8,GPRC5C
DFI,gsmb_alpha0.10,CENPV_3,3,5.333333333333333,5,0.6,CENPV
DFI,gsmb_alpha0.10,LOC119876408,2,2.5,5,0.4,LOC119876408
DFI,gsmb_alpha0.10,ADAMTS4_3,2,3.0,5,0.4,ADAMTS4
DFI,gsmb_alpha0.10,PRRT4_3,2,4.5,5,0.4,PRRT4
DFI,gsmb_alpha0.10,HIC1_3,2,6.0,5,0.4,HIC1
DFI,gsmb_alpha0.10,OSR2_3,2,7.0,5,0.4,OSR2
DFI,gsmb_alpha0.10,ACSS3_3,2,8.0,5,0.4,ACSS3
DFI,gsmb_alpha0.10,EPHA2_3,2,8.5,5,0.4,EPHA2
DFI,gsmb_alpha0.10,MRI1_3,1,1.0,5,0.2,MRI1
DFI,gsmb_alpha0.10,ADORA2B_3,1,2.0,5,0.2,ADORA2B
DFI,gsmb_alpha0.10,ANGPT2_3,1,2.0,5,0.2,ANGPT2
DFI,gsmb_alpha0.10,GLUL_3,1,2.0,5,0.2,GLUL
DFI,gsmb_alpha0.10,KCNQ4_3,1,2.0,5,0.2,KCNQ4
DFI,gsmb_alpha0.10,ASAH1_3,1,3.0,5,0.2,ASAH1
DFI,gsmb_alpha0.10,DMRTA1_3,1,3.0,5,0.2,DMRTA1
DFI,gsmb_alpha0.10,LOC119878257,1,3.0,5,0.2,LOC119878257
DFI,gsmb_alpha0.10,LOC119878351,1,3.0,5,0.2,LOC119878351
DFI,gsmb_alpha0.10,LOC102156428_3,1,4.0,5,0.2,LOC102156428
DFI,gsmb_alpha0.10,P4HA1_3,1,4.0,5,0.2,P4HA1
DFI,gsmb_alpha0.10,ADRA1B_3,1,5.0,5,0.2,ADRA1B
DFI,gsmb_alpha0.10,HACD4_3,1,5.0,5,0.2,HACD4
DFI,gsmb_alpha0.10,MCM10_3,1,5.0,5,0.2,MCM10
DFI,gsmb_alpha0.10,NET1_3,1,5.0,5,0.2,NET1
DFI,gsmb_alpha0.10,LOC111094227_3,1,6.0,5,0.2,LOC111094227
DFI,gsmb_alpha0.10,MCAM_3,1,6.0,5,0.2,MCAM
DFI,gsmb_alpha0.10,SLC6A6_3,1,6.0,5,0.2,SLC6A6
DFI,gsmb_alpha0.10,APELA_3,1,7.0,5,0.2,APELA
DFI,gsmb_alpha0.10,PDE10A_3,1,7.0,5,0.2,PDE10A
DFI,gsmb_alpha0.10,EXO1_3,1,8.0,5,0.2,EXO1
DFI,gsmb_alpha0.10,HSP70_3,1,8.0,5,0.2,HSP70
DFI,gsmb_alpha0.10,RETSAT_3,1,8.0,5,0.2,RETSAT
DFI,gsmb_alpha0.10,ACOT7_3,1,9.0,5,0.2,ACOT7
DFI,gsmb_alpha0.10,ANKRD37_3,1,9.0,5,0.2,ANKRD37
DFI,gsmb_alpha0.10,DDIT4_3,1,9.0,5,0.2,DDIT4
DFI,gsmb_alpha0.10,EPHB3_3,1,9.0,5,0.2,EPHB3
DFI,gsmb_alpha0.10,OSM_3,1,9.0,5,0.2,OSM
DFI,gsmb_alpha0.10,CHST8_3,1,10.0,5,0.2,CHST8
DFI,gsmb_alpha0.10,KLHL38_3,1,10.0,5,0.2,KLHL38
