analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,interpretable,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor9,0.09809143373197239,0.09809143373197239,0.00962192937159393,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor10,0.0229763293196131,0.0229763293196131,0.0005279117090033126,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor1,-0.0020561271383258773,0.0020561271383258773,4.227658808960161e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor2,0.040585411582249174,0.040585411582249174,0.0016471756333005655,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor3,0.036742777427140445,0.036742777427140445,0.0013500316930603815,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor4,0.04168609593630077,0.04168609593630077,0.0017377305944104718,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor5,0.02462833527843138,0.02462833527843138,0.0006065548985868277,1,GSE21257,group_specific
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor6,-0.01977098378565867,0.01977098378565867,0.000390891799852778,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor7,0.04281227673199626,0.04281227673199626,0.0018328910389770283,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor8,0.011861818814274583,0.011861818814274583,0.00014070274558267848,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor9,0.028013236948330213,0.028013236948330213,0.000784741444323293,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M24,7,3,0.42857142857142855,False,Factor10,0.05454266597907308,0.05454266597907308,0.0029749024121047355,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor1,-0.1096953546386029,0.1096953546386029,0.01203307082928886,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor2,-0.052266293140824836,0.052266293140824836,0.0027317653986826335,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor3,0.0002092417100545756,0.0002092417100545756,4.378209322656308e-08,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor4,0.5482163125312559,0.5482163125312559,0.30054112532536764,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor5,-0.04991934281201706,0.04991934281201706,0.0024919407867836797,1,GSE21257,group_specific
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor6,-0.04112375818488114,0.04112375818488114,0.0016911634872485786,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor7,0.01649793562971433,0.01649793562971433,0.0002721818800421976,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor8,0.05978830646021386,0.05978830646021386,0.00357464158938045,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor9,-0.07519311369910961,0.07519311369910961,0.005654004347767225,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,True,Factor10,0.09826355241205982,0.09826355241205982,0.009655725732637628,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor1,-0.5446789731193108,0.5446789731193108,0.29667518375830687,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor2,0.024184435605919135,0.024184435605919135,0.0005848869255768493,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor3,-0.06387863416524135,0.06387863416524135,0.0040804799028167395,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor4,0.027682427565193755,0.027682427565193755,0.000766316795902199,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor5,-0.05016901212078036,0.05016901212078036,0.0025169297771750064,1,GSE21257,group_specific
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor6,-0.05740852034148064,0.05740852034148064,0.0032957382077981965,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor7,0.043854124766098984,0.043854124766098984,0.0019231842590005763,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor8,0.06972119236875955,0.06972119236875955,0.004861044665321575,1,GSE39055,group_specific
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor9,0.10290182079490583,0.10290182079490583,0.010588784722906914,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor10,0.08413421359149963,0.08413421359149963,0.007078565896660081,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor11,0.055396211148278286,0.055396211148278286,0.0030687402095846317,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor12,-0.01862044752531127,0.01862044752531127,0.00034672106604287053,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,True,Factor13,-0.07801977371976945,0.07801977371976945,0.006087085091284028,1,DOG2,group_specific
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor1,0.004099575663119843,0.004099575663119843,1.6806520617644503e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor2,0.050344375473399657,0.050344375473399657,0.002534556141806645,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor3,0.0015363026323869913,0.0015363026323869913,2.360225778279199e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor4,0.05100554549536808,0.05100554549536808,0.002601565671280063,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor5,0.046235639440761665,0.046235639440761665,0.0021377343544961157,1,GSE21257,group_specific
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor6,-0.06471449508064166,0.06471449508064166,0.004187965873542393,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor7,0.002147287421748447,0.002147287421748447,4.610843271599092e-06,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor8,0.006797497366545207,0.006797497366545207,4.620597044818902e-05,1,GSE39055,group_specific
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor9,0.08104890866943291,0.08104890866943291,0.006568925596506078,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor10,0.1307847765630324,0.1307847765630324,0.017104657780642307,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor11,-0.020724107350439665,0.020724107350439665,0.00042948862547254735,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor12,-0.12118130278652181,0.12118130278652181,0.014684908145038679,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,True,Factor13,-0.01589595585215015,0.01589595585215015,0.00025268141245350656,1,DOG2,group_specific
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor1,-0.0070387007855106975,0.0070387007855106975,4.954330874794891e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor2,0.03593717246521307,0.03593717246521307,0.0012914803647944687,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor3,0.0035581531241191855,0.0035581531241191855,1.266045365467912e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor4,0.03238033549077011,0.03238033549077011,0.0010484861264948263,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor5,0.018538694398833683,0.018538694398833683,0.00034368319001334735,1,GSE21257,group_specific
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor6,-0.04047996041823008,0.04047996041823008,0.0016386271954614738,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor7,0.010067234150175092,0.010067234150175092,0.00010134920343445161,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor8,0.0360243999113068,0.0360243999113068,0.0012977573889697614,1,GSE39055,group_specific
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor9,0.0100267562230781,0.0100267562230781,0.00010053584035703542,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor10,0.057036680918764154,0.057036680918764154,0.003253182970228915,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor11,0.020045626315681818,0.020045626315681818,0.0004018271343879554,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor12,-0.026744240730095334,0.026744240730095334,0.0007152544122292902,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,16,M24,7,3,0.42857142857142855,False,Factor13,-0.06797100512556284,0.06797100512556284,0.004620057537779289,1,DOG2,group_specific
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor1,-0.11277463538665991,0.11277463538665991,0.012718118386594085,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor2,-0.06899220802802218,0.06899220802802218,0.004759924768581889,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor3,-0.016718022259989963,0.016718022259989963,0.0002794922682855199,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor4,0.5692063917121484,0.5692063917121484,0.3239959163659637,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor5,-0.04749956971159218,0.04749956971159218,0.002256209122786405,1,GSE21257,group_specific
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor6,-0.009710090554245909,0.009710090554245909,9.428585857165562e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor7,0.09019088414199533,0.09019088414199533,0.008134395582314826,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor8,0.007796081155924876,0.007796081155924876,6.077888138976695e-05,1,GSE39055,group_specific
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor9,-0.0653858245635862,0.0653858245635862,0.004275306053860072,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor10,0.042982567087286594,0.042982567087286594,0.0018475010734130928,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor11,-0.0075148586097599016,0.0075148586097599016,5.647309992468252e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor12,-0.0320035218433834,0.0320035218433834,0.0010242254103799183,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,True,Factor13,-0.0715653897094223,0.0715653897094223,0.005121605004261488,1,DOG2,group_specific
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,True,Factor1,-0.48071970740658615,0.48071970740658615,0.2310914370890738,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
