,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
22_0317_tumor,41.3774335271209,7.974443398526955,19.765033825004256,3.7748135520818074,-4.53286838645556,-3.2293719665120846,-0.06348869187333576,-16.569611737814014,-0.4786388760133912,12.193679185578585
22_0640__Tumor,-20.845435384306537,-4.879120192386562,8.937658254657347,13.821949639066213,16.107491996678924,-3.6431484667590137,-4.596618929042613,-6.724348826044537,-15.247417890510341,-0.2803193660541975
23_0329_tumor,1.331773383911525,-10.376431289057818,9.94648482602704,-13.481793976060754,26.869219988356708,-7.277377308290347,-2.4739061161430245,5.3332156336959935,9.352447306943915,1.1679847784121233
23_0642__Tumor,9.111489714581325,-12.803277750975505,11.402619367004867,31.094279819642654,-0.8349507946429853,-6.574367668626486,-0.08625153625444602,-0.9402414970163833,-0.3282570117720165,9.46451753200936
24_0405_tumor,-0.7551904671401648,28.24768096128058,4.345886790261542,-20.025758792391187,7.039014790969845,-20.628167793954695,-2.3921512552280197,8.395643232333223,1.3985654865465087,2.9453259275328962
24_0704__Tumor,-10.92249817025293,-3.42107569942764,-24.676078834005583,-0.16617030828208723,1.1183328116016424,-4.654086688822491,17.946344739529184,-14.821090908367417,18.132742582214682,-12.67060217099932
25_0505_tumor,7.424125417073556,9.389353702673935,-2.1126004658164494,-19.63265515667351,-6.027024939175641,-16.91954854311943,2.68937975939635,30.13304646251848,2.956430884772528,-4.045362480984685
25_0706__Tumor,12.000561498939883,-18.254322211272605,-1.2876997982151739,6.7832874419020115,-1.9406427763028868,-2.2394435069017478,7.755329494897794,-6.928432173484884,-1.8635648237735314,17.702560392945863
26_0509_tumor,8.031166751335418,-2.424072045903898,12.090773813298743,8.282837366373503,12.58232689394301,-8.789755124481438,-12.164257073604777,3.756128329636826,8.967003743815486,6.903810897978812
26_0722__Tumor,-4.504579282945251,6.459188685465126,0.7505942653104914,10.256566250312938,2.74936981024961,19.32489008873942,5.929104158043485,5.214123037985799,2.5116249368084587,7.175870831890263
27_0511_tumor,-0.6546817886462957,-19.81855366002318,-13.1741932945429,-0.6895736276929206,0.860185969287897,-3.4455490094056866,7.411007847117697,4.141700292499942,11.273692288260165,4.848354802694785
27_0723__Tumor,-2.579546443794442,-26.2090612341033,-13.573955798725047,-8.478297795699474,-18.094834298391802,-8.52013385674832,-0.3173880468362181,9.232534560512185,-9.653143751036193,4.816280202213136
28_0513_tumor,7.5638211167264,4.763315755218809,12.757167082584028,22.819940410173402,-4.089652860829688,-1.5336476243014352,-12.40514217452857,17.157356147908573,-4.991244123133306,8.526292603673877
