endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,19,5,M28,module_plus_disjoint_proliferation,0.6163636363636363,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,
DFI,19,5,M28,residual_to_original_proliferation,0.64,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,0.9488452674390555
DFI,19,5,M28,residual_to_disjoint_proliferation,0.64,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,0.9488452674390555
DFI,19,5,M28,residual_to_disjoint_proliferation_and_weight,0.6345454545454545,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,0.9326542925214681
DFI,19,5,M30,module_only,0.5163636363636364,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,
DFI,19,5,M30,original_proliferation_only,0.5509090909090909,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,
DFI,19,5,M30,module_plus_original_proliferation,0.5781818181818181,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,
DFI,19,5,M30,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,
DFI,19,5,M30,module_plus_disjoint_proliferation,0.5781818181818181,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,
DFI,19,5,M30,residual_to_original_proliferation,0.5036363636363637,,149,37,114,29,7,251,251,0.7155090370943611,0.6512064060915287,0.6512064060915287,-0.37033801480680045,-0.37033801480680045,0.9288970636130561
