endpoint,fold,method,method_c_index,method_n_genes,random_source,matched_random_panel_size,random_mean_c_index,random_median_c_index,random_q90_c_index,random_max_c_index,method_percentile_vs_random,method_minus_random_mean,method_minus_random_median
DFI,3,elastic_net_cox,0.649706457925636,25,train_screen_top1000,25,0.616320939334638,0.6144814090019569,0.6771037181996086,0.7162426614481409,0.7,0.03338551859099792,0.03522504892367906
DFI,3,elastic_net_cox,0.649706457925636,25,train_screen_top500,25,0.6156555772994129,0.6223091976516634,0.6714285714285715,0.7475538160469667,0.71,0.03405088062622308,0.0273972602739726
DFI,4,univariate_top10,0.5031315240083507,10,train_variance_top5000,10,0.5455323590814196,0.5427974947807933,0.6056367432150314,0.6931106471816284,0.19,-0.04240083507306891,-0.039665970772442605
DFI,4,univariate_top10,0.5031315240083507,10,train_screen_top1000,10,0.5475991649269311,0.5511482254697286,0.6096033402922756,0.6617954070981211,0.16,-0.04446764091858035,-0.04801670146137793
DFI,4,univariate_top10,0.5031315240083507,10,train_screen_top500,10,0.5440083507306889,0.5407098121085595,0.592901878914405,0.6242171189979123,0.13,-0.040876826722338166,-0.0375782881002088
DFI,4,conditional_cox_mb,0.5260960334029228,7,train_variance_top5000,7,0.5364718162839249,0.5438413361169102,0.6202505219206681,0.6743215031315241,0.45,-0.01037578288100216,-0.017745302713987443
DFI,4,conditional_cox_mb,0.5260960334029228,7,train_screen_top1000,7,0.5408350730688936,0.5386221294363257,0.5970772442588727,0.6346555323590815,0.42,-0.014739039665970788,-0.012526096033402934
DFI,4,conditional_cox_mb,0.5260960334029228,7,train_screen_top500,7,0.5456784968684761,0.545929018789144,0.5908141962421712,0.6283924843423799,0.35,-0.019582463465553368,-0.019832985386221247
DFI,4,conditional_cox_mb_plus_clinical,0.5198329853862212,7,train_variance_top5000,7,0.5364718162839249,0.5438413361169102,0.6202505219206681,0.6743215031315241,0.4,-0.016638830897703683,-0.024008350730688965
DFI,4,conditional_cox_mb_plus_clinical,0.5198329853862212,7,train_screen_top1000,7,0.5408350730688936,0.5386221294363257,0.5970772442588727,0.6346555323590815,0.36,-0.02100208768267231,-0.018789144050104456
DFI,4,conditional_cox_mb_plus_clinical,0.5198329853862212,7,train_screen_top500,7,0.5456784968684761,0.545929018789144,0.5908141962421712,0.6283924843423799,0.24,-0.02584551148225489,-0.02609603340292277
DFI,4,iamb_alpha0.10,0.4572025052192067,11,train_variance_top5000,10,0.5455323590814196,0.5427974947807933,0.6056367432150314,0.6931106471816284,0.04,-0.08832985386221293,-0.08559498956158662
DFI,4,iamb_alpha0.10,0.4572025052192067,11,train_screen_top1000,10,0.5475991649269311,0.5511482254697286,0.6096033402922756,0.6617954070981211,0.02,-0.09039665970772437,-0.09394572025052195
DFI,4,iamb_alpha0.10,0.4572025052192067,11,train_screen_top500,10,0.5440083507306889,0.5407098121085595,0.592901878914405,0.6242171189979123,0.0,-0.08680584551148218,-0.08350730688935282
DFI,4,gsmb_alpha0.10,0.5156576200417536,12,train_variance_top5000,12,0.5478288100208768,0.5490605427974948,0.6200417536534447,0.6722338204592901,0.27,-0.03217118997912316,-0.03340292275574119
DFI,4,gsmb_alpha0.10,0.5156576200417536,12,train_screen_top1000,12,0.5426513569937369,0.5375782881002087,0.5958246346555325,0.6784968684759917,0.26,-0.02699373695198326,-0.02192066805845505
DFI,4,gsmb_alpha0.10,0.5156576200417536,12,train_screen_top500,12,0.5411273486430063,0.5417536534446764,0.5845511482254697,0.6409185803757829,0.2,-0.025469728601252628,-0.02609603340292277
DFI,4,elastic_net_cox,0.5427974947807933,10,train_variance_top5000,10,0.5455323590814196,0.5427974947807933,0.6056367432150314,0.6931106471816284,0.51,-0.002734864300626305,0.0
DFI,4,elastic_net_cox,0.5427974947807933,10,train_screen_top1000,10,0.5475991649269311,0.5511482254697286,0.6096033402922756,0.6617954070981211,0.46,-0.004801670146137749,-0.008350730688935326
DFI,4,elastic_net_cox,0.5427974947807933,10,train_screen_top500,10,0.5440083507306889,0.5407098121085595,0.592901878914405,0.6242171189979123,0.51,-0.0012108559498955618,0.0020876826722338038
DFI,5,univariate_top10,0.6061185468451242,10,train_variance_top5000,10,0.6116443594646271,0.6195028680688337,0.6768642447418738,0.7284894837476099,0.42,-0.005525812619502912,-0.013384321223709472
DFI,5,univariate_top10,0.6061185468451242,10,train_screen_top1000,10,0.647055449330784,0.6510516252390057,0.7043977055449331,0.7877629063097514,0.19,-0.04093690248565973,-0.0449330783938815
DFI,5,univariate_top10,0.6061185468451242,10,train_screen_top500,10,0.6579158699808795,0.6606118546845124,0.7208413001912046,0.7705544933078394,0.12,-0.05179732313575525,-0.054493307839388216
