analysis_set,initial_factors,module_label,n_module_genes,module_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_detection_aware,12,M34,50,0.30864197530864196,partially_shared,3,Factor5;Factor7;Factor8,0.05490575139737141,2000,0.02122634538026344,0.04158015670514661,0.9885,0.01199400299850075,0.01199400299850075,0.01865733799766783
four_cohort_detection_aware,12,M34,50,0.30864197530864196,shared_non_ffpe_only,3,Factor5;Factor7;Factor8,0.05490575139737141,2000,0.02122634538026344,0.04158015670514661,0.9885,0.01199400299850075,0.01199400299850075,0.01865733799766783
four_cohort_detection_aware,12,M34,50,0.30864197530864196,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.44365982993681186,2000,0.13421991810700512,0.17337457937619458,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,12,M11,5,0.7142857142857143,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.11613416735501307,2000,0.026134550300352905,0.042982339094387347,1.0,0.0004997501249375312,0.0004997501249375312,0.0009281073748839865
four_cohort_detection_aware,12,M11,5,0.7142857142857143,shared_two_or_more,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor7;Factor8,0.11514547680084947,2000,0.02399487399219389,0.0403970858730349,1.0,0.0004997501249375312,0.0004997501249375312,0.0009281073748839865
four_cohort_detection_aware,12,M11,5,0.7142857142857143,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.017572767468183894,2000,0.01659862536898718,0.02872771993275273,0.613,0.3873063468265867,0.3873063468265867,0.4929353505065649
four_cohort_detection_aware,12,M11,5,0.7142857142857143,partially_shared,3,Factor5;Factor7;Factor8,0.09633266180622026,2000,0.008185359423311939,0.021567383121688013,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,12,M11,5,0.7142857142857143,shared_non_ffpe_only,3,Factor5;Factor7;Factor8,0.09633266180622026,2000,0.008185359423311939,0.021567383121688013,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,12,M11,5,0.7142857142857143,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.017572767468183894,2000,0.01659862536898718,0.02872771993275273,0.613,0.3873063468265867,0.3873063468265867,0.4929353505065649
four_cohort_detection_aware,12,M40,32,0.2882882882882883,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.4867205857762865,2000,0.04672070744264926,0.06947517867642368,1.0,0.0004997501249375312,0.0004997501249375312,0.0009281073748839865
four_cohort_detection_aware,12,M40,32,0.2882882882882883,shared_two_or_more,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor7;Factor8,0.4782613869213124,2000,0.0441688272928864,0.06539907247366891,1.0,0.0004997501249375312,0.0004997501249375312,0.0009281073748839865
four_cohort_detection_aware,12,M40,32,0.2882882882882883,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.42489151498927513,2000,0.036308564158839075,0.05405609294339813,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,12,M40,32,0.2882882882882883,partially_shared,3,Factor5;Factor7;Factor8,0.06938629243851731,2000,0.009332009793980394,0.023788632868853698,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,12,M40,32,0.2882882882882883,shared_non_ffpe_only,3,Factor5;Factor7;Factor8,0.06938629243851731,2000,0.009332009793980394,0.023788632868853698,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
