analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.28434231183066805,2000,0.022455951636426236,0.033041153674054996,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.28434231183066805,2000,0.022455951636426236,0.033041153674054996,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.2804550785411177,2000,0.019482920939967167,0.02872317292457982,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,partially_shared,2,Factor5;Factor6,0.008928959147090843,2000,0.0033924670148256907,0.010415035703052383,0.925,0.07546226886556721,0.09311070271315955,0.135832083958021
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,shared_non_ffpe_only,2,Factor5;Factor6,0.008928959147090843,2000,0.0033924670148256907,0.010415035703052383,0.925,0.07546226886556721,0.09311070271315955,0.135832083958021
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.2804550785411177,2000,0.019482920939967167,0.02872317292457982,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.33291216590144845,2000,0.05807954944751224,0.073530263097251,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,shared_two_or_more,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.33291216590144845,2000,0.05807954944751224,0.073530263097251,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,ubiquitous_all_groups,5,Factor1;Factor2;Factor3;Factor4;Factor6,0.2757167611611261,2000,0.048183108938179314,0.0612132527747306,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,partially_shared,3,Factor5;Factor7;Factor8,0.035274156816787285,2000,0.015344496939915676,0.030336057464813528,0.9795,0.020989505247376312,0.027215205956343864,0.0472263868065967
