probe_id,gene_symbol,probe_variance
ILMN_2196642,AGBL4,1.1689016441459539
ILMN_2290776,AGBL5,0.6141594651221943
ILMN_1777182,AGC1,0.48210700496131015
ILMN_1729777,AGER,0.8208825209456964
ILMN_3181215,AGFG1,1.1659683445039173
ILMN_1703228,AGFG2,1.1956103396360283
ILMN_1776153,AGGF1,1.3838698862800083
ILMN_1772645,AGK,0.7140574157725775
ILMN_2371825,AGL,0.9184286487568111
ILMN_1707169,AGMAT,1.6002475171820367
ILMN_1679520,AGPAT1,1.7788173813731822
ILMN_1732176,AGPAT2,1.1494573827318781
ILMN_2288175,AGPAT3,1.6688753009001398
ILMN_1730504,AGPAT4,1.6743194790323268
ILMN_1662049,AGPAT5,0.5144986152568644
ILMN_1740752,AGPAT6,1.8957126885264388
ILMN_1794875,AGPAT9,1.5435305986778083
ILMN_1698209,AGPS,1.2892046608944885
ILMN_3307841,AGR2,1.4490001900524978
ILMN_1728787,AGR3,0.5000450333917261
ILMN_2234605,AGRN,1.0768705040937236
ILMN_1770336,AGRP,0.3849128811234228
ILMN_1813530,AGT,0.05562414012701273
ILMN_2223922,AGTPBP1,1.6226381954215958
ILMN_2341343,AGTR1,0.300381563164109
ILMN_1775634,AGTR2,0.43981217624117175
ILMN_2307656,AGTRAP,0.19110120476540743
ILMN_1709796,AGXT,1.6173753637517572
ILMN_1783963,AGXT2,0.1252384468069083
ILMN_2134801,AGXT2L1,1.9301278677766258
ILMN_1686370,AGXT2L2,0.8056669203511175
ILMN_1809139,AHCTF1,3.368355995404372
ILMN_1657862,AHCY,1.4515496007173052
ILMN_1770412,AHCYL1,1.9550864435574458
ILMN_1712786,AHCYL2,1.4608095302575785
ILMN_1680111,AHDC1,2.846277689903616
ILMN_1791006,AHI1,0.8186062692613897
ILMN_1792495,AHNAK,3.3553784957977437
ILMN_3243156,AHNAK2,0.7421060321044108
ILMN_2162799,AHR,1.1057118579361254
ILMN_1782679,AHRR,0.18821634956118005
ILMN_1703617,AHSA1,0.6905391638369546
ILMN_1798308,AHSA2,0.8202113894483759
ILMN_1730625,AHSG,1.1673833153940942
ILMN_1696512,AHSP,1.130612836249635
ILMN_2164164,AICDA,0.056027317001204544
ILMN_3240117,AIDA,0.5432661886532261
ILMN_1792473,AIF1,1.6926740516615217
ILMN_3246401,AIF1L,1.1060847516012338
ILMN_1667183,AIFM1,0.9881054626249249
ILMN_1712639,AIFM2,0.20180515217177647
ILMN_1704173,AIFM3,1.2056330051291797
ILMN_1797974,AIG1,2.106430564878023
ILMN_1688625,AIM1,0.8572354825982466
ILMN_3307874,AIM1L,0.6486114500772517
ILMN_1681301,AIM2,1.0888964705746451
ILMN_1673252,AIMP2,4.620391224172289
ILMN_2103841,AIP,3.0317872238377603
ILMN_2368268,AIPL1,0.09353561803010675
ILMN_1791236,AIRE,1.823203329400751
ILMN_2312764,AJAP1,0.6303190268625264
ILMN_1779965,AK1,0.17209944623362716
ILMN_1716053,AK2,2.8760505097894757
ILMN_1778173,AK3,3.6790412895434295
ILMN_2338038,AK3L1,0.9489069170712325
ILMN_2283473,AK5,1.524922672921553
ILMN_1684305,AK7,2.242826264564436
ILMN_1712530,AKAP1,1.1184202373218775
ILMN_1718808,AKAP10,1.1752698044569034
ILMN_1783818,AKAP11,1.7395110494492252
ILMN_1715532,AKAP12,1.193306232649957
ILMN_2396956,AKAP13,3.0419626167541725
ILMN_1679987,AKAP14,2.0269954244091073
ILMN_1737754,AKAP2,0.228274753317602
ILMN_1808905,AKAP3,0.6915797541227483
ILMN_2268556,AKAP4,1.3838310840102386
ILMN_1690818,AKAP5,0.580001490598468
ILMN_1770758,AKAP6,0.5794499024585634
ILMN_1703049,AKAP7,1.2132361806287364
ILMN_1741572,AKAP8,1.837773831443009
ILMN_1768962,AKAP8L,2.6736418750410413
ILMN_2400663,AKAP9,1.8749440152280026
ILMN_1658337,AKIRIN1,2.872142607147826
ILMN_2148847,AKIRIN2,2.185217182417666
ILMN_1770673,AKNA,0.24288941886144924
ILMN_2205785,AKNAD1,0.9198285743412724
ILMN_1728047,AKR1A1,2.399541793839642
ILMN_1701731,AKR1B1,0.7380806383968936
ILMN_1672148,AKR1B10,0.0737453070258918
ILMN_2278335,AKR1B15,0.13376832243594106
ILMN_1662507,AKR1C1,0.2226634829952508
ILMN_2412336,AKR1C2,3.3806957703434684
ILMN_1713124,AKR1C3,2.7840730791829613
ILMN_1668880,AKR1C4,0.6696117488116771
ILMN_3307911,AKR1CL1,0.7810295816470141
ILMN_1692661,AKR1D1,0.3984261216956819
ILMN_1694985,AKR1E2,0.32835483999055354
ILMN_1677043,AKR7A2,0.8841595269756747
ILMN_2145396,AKR7A3,0.6009666995478203
ILMN_3243152,AKR7L,0.8331191261303088
ILMN_2388507,AKT1,2.95138200223024
ILMN_1726906,AKT1S1,0.6433173485797249
ILMN_1743347,AKT2,1.3331986023082094
ILMN_1757130,AKT3,0.25276443025847184
ILMN_2377240,AKTIP,1.1362476486523958
ILMN_1679898,ALAD,1.1164201231829718
ILMN_2385647,ALAS1,1.543676172428639
ILMN_2367126,ALAS2,4.481722053954899
ILMN_1782939,ALB,2.079217918472772
ILMN_1670870,ALCAM,1.504052652984865
ILMN_2051381,ALDH16A1,0.334288678127287
ILMN_2302716,ALDH18A1,2.7179515493388635
ILMN_2096372,ALDH1A1,2.8925241992076476
ILMN_2383707,ALDH1A2,0.6205960008072138
ILMN_2139970,ALDH1A3,2.38701494634906
ILMN_1675398,ALDH1B1,0.37331036276390883
ILMN_1802167,ALDH1L1,0.057869624557652294
ILMN_2182980,ALDH1L2,0.7376608064334845
ILMN_1793859,ALDH2,1.319019713794129
