analysis_set,initial_factors,module_label,subspace_name,n_random_valid,random_mean_capture,random_q95_capture,observed_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
three_cohort_no_ffpe_variable_only_1500,12,M34,ubiquitous_all_groups,2000,0.05283863857647241,0.061479518330822325,0.3130890026819735,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M34,partially_shared,2000,0.001567629229071823,0.004952056514754092,0.009825916801059107,0.9985,0.001999000499750125,0.002780427967834265,0.005997001499250375
three_cohort_no_ffpe_variable_only_1500,12,M34,shared_non_ffpe_only,2000,0.05413561744384555,0.06284734577440944,0.31593501695071474,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M11,all_retained,2000,0.009230055417603456,0.014778882654002162,0.03528301744099678,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M11,shared_two_or_more,2000,0.008579667392152022,0.013961461046284842,0.035100831428720634,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M11,ubiquitous_all_groups,2000,0.00785613904105029,0.01290042532448419,0.03509833875186753,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M11,partially_shared,2000,0.0007279450700532466,0.002808068440768354,3.266427002919852e-05,0.1645,0.8355822088955522,0.851206846907672,0.8355822088955523
three_cohort_no_ffpe_variable_only_1500,12,M11,shared_non_ffpe_only,2000,0.008579667392152022,0.013961461046284842,0.035100831428720634,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M40,all_retained,2000,0.025626305844346144,0.03293684084175606,0.33841314262255734,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M40,shared_two_or_more,2000,0.02494812531169382,0.032026043507855095,0.3267122775319514,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M40,ubiquitous_all_groups,2000,0.023890435714540734,0.031168865412317764,0.3264793322359663,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M40,partially_shared,2000,0.0011883855898042047,0.0039372864590676605,0.0045754960914487835,0.967,0.033483258370814596,0.04269115442278861,0.0502248875562219
three_cohort_no_ffpe_variable_only_1500,12,M40,shared_non_ffpe_only,2000,0.02494812531169382,0.032026043507855095,0.3267122775319514,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,16,M34,all_retained,2000,0.06110194495793132,0.06928921746725654,0.3287600736130333,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,16,M34,shared_two_or_more,2000,0.05931877046023331,0.06745626412382351,0.3235899055572329,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,16,M34,ubiquitous_all_groups,2000,0.052461304849214,0.061709670710123385,0.3139680660575475,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,16,M34,partially_shared,2000,0.009577105188698006,0.018108761498724237,0.014817770686021798,0.8695,0.13093453273363317,0.1577400276239833,0.1571214392803598
three_cohort_no_ffpe_variable_only_1500,16,M34,shared_non_ffpe_only,2000,0.05931877046023331,0.06745626412382351,0.3235899055572329,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,16,M11,all_retained,2000,0.011783612553758345,0.017929492100440442,0.05261769287013153,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,16,M11,shared_two_or_more,2000,0.010452093794484467,0.015936750298093046,0.04980176531915007,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
