gene,gene_symbol_clean,candidate_source,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score,candidate_rank
LOC489911_3,LOC489911,dfi_top400,-0.2734059356611574,0.7607838956243678,0.0012222195865426,0.0227039559526473,0.5652206210072798,-0.2582654768639467,0.7723901531706691,0.0049435897054385,0.0879284186972097,0.5731190533301351,True,549.0,269
CLTCL1_3,CLTCL1,dfi_top400,0.2472049032817732,1.2804414525559586,0.0012302581232575,0.0227039559526473,0.594785321646115,0.20526536910684,1.22785085541874,0.0116391386732171,0.1214941406390101,0.5668825457743664,True,749.0,270
CENPI_3,CENPI,dfi_top400,0.2661329371834725,1.3049085180201498,0.0012305544126334,0.0227039559526473,0.5862427573911752,0.197411180633308,1.2182448564275796,0.0234078303513516,0.1646120277872831,0.5671224114495882,True,982.0,271
IFI35_3,IFI35,dfi_top400,-0.2795651070092748,0.7561124979891631,0.0012619029329656,0.0231967450912809,0.595082454315852,-0.279095009131427,0.7564680284303875,0.0029537270713948,0.0811463481152423,0.5871911729431518,True,454.0,272
LAMA3_3,LAMA3,dfi_top400,-0.2784737902057226,0.7569381066819746,0.0012874408814272,0.0235356519818404,0.5859456247214381,-0.2348305496367751,0.7907048234969999,0.0108741041608299,0.1188349355791448,0.5770368593587591,True,730.0,273
FGL2_3,FGL2,dfi_top400,-0.2807177196344105,0.7552414952387696,0.0012897537286048,0.0235356519818404,0.6100133709701382,-0.3719903844133848,0.6893608711015188,9.707759129237706e-05,0.034670568318706,0.6356440393379708,True,288.0,274
ITGAX_3,ITGAX,dfi_top400,-0.2732737541336973,0.7608844638482427,0.0012995943507906,0.0236289881961931,0.5788887238151835,-0.2014299646934982,0.8175608336786708,0.0288904525289693,0.1801150407042975,0.5568081874150476,True,1077.0,275
TK1_3,TK1,dfi_top400,0.2863842240570062,1.3316039912616264,0.0013196398939784,0.0238525156152633,0.5723518050809686,0.2430699048943509,1.2751577607714266,0.0126744320261269,0.1249763892629775,0.5726393219796914,True,783.0,276
KIF4A_3,KIF4A,dfi_top400,0.2706035272487314,1.3107552885962293,0.0013226202777648,0.0238525156152633,0.6028821868964492,0.2673757173474678,1.3065312405770182,0.0035740655725943,0.0831254648485066,0.5943871431998081,True,489.0,277
CD244_3,CD244,dfi_top400,-0.2895633031340015,0.7485904032923395,0.0013291360209366,0.0238525156152633,0.5969766750854256,-0.2696858946355155,0.7636193135934476,0.005959510065033,0.0955049689909138,0.6140961061805389,True,590.0,278
TRIM34_3,TRIM34,dfi_top400,-0.2480759555249719,0.7803006728798612,0.0013347944387627,0.0238525156152633,0.6180359530530382,-0.2213117504341185,0.8014667837217805,0.0095651969338608,0.1103654666102201,0.5993443671543935,True,712.0,279
PID1_3,PID1,dfi_top400,-0.2520744247418082,0.7771868939825358,0.0013357408744547,0.0238525156152633,0.5860941910563067,-0.2501193995229368,0.7787078001806101,0.0038167233675764,0.0837291957547359,0.5792756056608299,True,507.0,280
HSPH1_3,HSPH1,dfi_top400,0.2699835595402898,1.3099429144925063,0.001341359016756,0.0238675981629193,0.5886198187490714,0.2515128262396776,1.2859693941097905,0.0057346149737172,0.0940100815363489,0.5755177100823539,True,586.0,281
ZBED2_3,ZBED2,dfi_top400,-0.2818082083328235,0.7544183618140579,0.0013717797633268,0.0240984228851898,0.571311840736889,-0.2562777484244578,0.7739269819376218,0.0062231429576326,0.0971179145621652,0.5630446949708163,True,601.0,282
SYK_3,SYK,dfi_top400,-0.2518692096461547,0.777346400831372,0.0013744016009829,0.0240984228851898,0.5903283316000594,-0.2450351831668261,0.7826770007019554,0.0044870251884588,0.0849459791984949,0.5858319341168945,True,545.0,283
JAML_3,JAML,dfi_top400,-0.2676546377427459,0.7651719970032106,0.0013778328394693,0.0240984228851898,0.6064477789332937,-0.295384373153595,0.7442454645041993,0.001656126688475,0.0687746935736468,0.6266090989046135,True,401.0,284
