,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
KCNH3,-0.17172928,-0.055296097,0.14224194,0.14268847,-0.08043362,-0.06715659
KCNMA1,-0.057747323,0.04912289,0.25408822,-0.017049538,-0.105006866,-0.12689465
KIT,-0.052772123,0.004540685,0.23173524,0.061797034,-0.08603059,0.13905539
KNTC1,-0.11280816,-0.06369345,0.0036758275,0.37520674,-0.0008926116,0.08506442
LAMC3,-0.07010798,0.0064166114,0.2627409,-0.09184405,-0.050984614,0.18128224
LCP2,0.33840546,-0.082994916,0.050008565,0.10227414,-0.013406335,0.042042304
LDLR,-0.09487817,0.06827559,0.059919946,0.20801999,0.011594563,0.12944064
LEF1,-0.117817484,-0.015196699,0.25865546,0.09596261,-0.00029282056,0.15345307
LOX,-0.005704642,0.09330099,0.1537858,0.015748328,0.010218757,-0.20892045
LRP4,-0.109089114,-0.21586029,0.26274925,0.08616791,-0.0174606,0.043103468
LRRC15,0.006255845,0.06265831,0.18468106,-0.061491862,0.15627412,0.09577029
LRRC17,-0.007228623,0.19982347,0.16827543,0.01795192,0.055658575,-0.14424925
LRRC25,0.30689487,-0.103588186,-0.0051854597,0.1108762,0.16587988,-0.09004486
LRRC32,0.11601536,0.22448523,0.119874544,0.038964104,0.0043338733,0.08921722
LRRN3,-0.09606446,0.073666744,0.1869959,0.082004,0.025953861,-0.18058385
LSP1,0.17918403,0.2394128,0.088044204,-0.02898541,-0.0046852413,-0.06053928
LTBP2,0.08197515,0.013462745,0.19801363,-0.073048234,-0.002762405,0.27762437
LTBP4,0.0027724018,0.20757197,0.1774372,-0.11067811,-0.035466876,0.05057856
LUM,0.037207916,0.20395191,0.17744707,-0.14101727,0.07709055,0.116977796
LXN,0.011329902,-0.14522775,0.10782556,-0.07894231,0.009157642,0.16315931
MAB21L2,0.025235094,-0.076086186,0.12097722,-0.12870586,-0.0005656322,0.033971637
MAF,0.1346189,0.21570642,0.1001335,0.0846047,-0.060508035,-0.015201697
MAMDC2,-0.04531629,-0.17879508,0.29299706,0.0032979636,0.07142696,0.011074526
MAPK13,0.14003523,-0.01901118,0.033798255,0.077154815,0.18960902,-0.23438765
MET,0.08292917,0.02532828,-0.062906995,0.074917525,0.25594074,0.09983596
MFAP2,-0.073206946,0.14835547,0.16207232,0.025670582,0.14282899,-0.017261727
MFAP4,0.045497175,0.3480863,0.07943085,0.0011764648,-0.0024978262,-0.033771288
MMP11,0.06598476,0.055426985,0.06933342,0.013844007,0.023685645,0.1597522
MMP13,0.014271915,-0.15011944,0.13657205,0.011560325,0.23006473,-0.060722288
MMP2,0.01850973,0.28508595,0.20455657,-0.061420336,0.0063817957,-0.012555739
MMP9,0.06545031,-0.20855777,0.117611535,0.004221066,0.4111353,0.028800985
MRC2,-0.076733805,-0.17065579,0.29547346,0.005541458,0.10602376,0.00683326
MTAP,0.026959406,-0.008620344,-0.0061434284,0.090742774,-0.0018020149,0.2186291
MTMR11,-0.035547607,0.15040334,0.13425775,-0.016965583,-0.02206836,0.16852696
MTSS1,0.041236404,-0.2588867,0.18400884,0.06908429,-0.006513889,-0.036468197
MYH10,-0.04024576,0.07680737,0.15056136,0.14811204,-0.017057542,0.0452382
MYOM1,0.012512842,-0.04066468,0.12599345,-0.020382456,-0.046155427,-0.031106848
